id,name,release_date,refined_date,how_to_read,english_name,description,must_learn,refine_from,can_status_refine,refine_description,refine_description2,special_refine_description,special_refine_hp,type,assist_type,sacred_seal,weapon_type,inherit,inheritable_weapon_type,inheritable_move_type,count,might,might_refine,no_impl_required,range,sp,effective,invalidate_effective,consideration,hp,atk,spd,def,res,cooldown_count,atk_count,counteratk_count,all_dist_counter,disable_counter,wrathful_staff
26,"エッケザックス",,2018-02-08,,,"ターン開始時、周囲2マスの敵の守備-4(敵の次回行動終了まで)","|銀の剣|","",true,"ターン開始時、周囲2マスの竜以外の敵の守備-6(敵の次回行動終了まで)","","弓、暗器、魔法、杖の敵から攻撃された時、戦闘中、守備、魔防+6",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,,,,,,
27,"ラグネル",,2021-05-06,,,"敵から攻撃された時、距離に関係なく反撃する","|銀の剣|","",true,"敵から攻撃された時、距離に関係なく反撃する","","奥義が発動しやすい(発動カウント-1)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4",3,"武器","",,"剣","不可",,,,16,,true,,400,"","","",,,,,,,,,true,,
28,"リガルブレイド",,2018-04-10,,,"敵のHPが100%で戦闘開始時、戦闘中の自分の攻撃、速さ+2","|銀の剣|","",true,"敵のHPが100%で戦闘開始時、戦闘中の自分の攻撃、速さ+3","","魔法かつ歩行の味方が2マス以内にいる時、戦闘中、自身の攻撃、速さ、守備、魔防+3",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,,,,,,
29,"斬馬刀",,,"ざんばとう",,"騎馬特効","|鋼の剣|","",,"","","","","武器","",,"剣","可",,,,10,,true,,200,"|騎馬|","","",,,,,,,,,,,
30,"斬馬刀+",,,"ざんばとう+",,"騎馬特効","|斬馬刀|","",true,"","","","","武器","",,"剣","可",,,,14,,true,,300,"|騎馬|","","",,,,,,,,,,,
31,"キルソード鍛",,,"キルソードたん","Slaying Edge","奥義が発動しやすい(発動カウント-1)","|鋼の剣|","",,"","","","","武器","",,"剣","可",,,,10,,true,,200,"","","",,,,,,-1,,,,,
32,"キルソード鍛+",,,"キルソードたん+","Slaying Edge","奥義が発動しやすい(発動カウント-1)","|キルソード鍛|","|キルソード+|",true,"","","","","武器","",,"剣","可",,,,14,,true,,300,"","","",,,,,,-1,,,,,
33,"烈剣デュランダル",,2019-09-05,,,"攻撃+3<br>攻撃が敵より高い時、自身の攻撃による奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","|銀の剣|","|デュランダル|",true,"攻撃+3<br>自分から攻撃した時、自身の奥義発動カウント変動量+1<br>敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)","","自分から攻撃した時、戦闘中、速さ+7、守備+10、敵は追撃不可",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,3,,,,,,,,,
34,"アミーテ",,2019-06-10,,,"自分から攻撃した時、2回攻撃<br>速さ-2","|銀の剣|","",true,"自分から攻撃した時、2回攻撃<br>速さ-2","","自分から攻撃した時、戦闘中の攻撃、速さ+4",3,"武器","",,"剣","不可",,,,11,,true,,400,"","","",,,-2,,,,2,,,,
35,"エタルド",,2021-05-06,2021-05-06,,"敵から攻撃された時、距離に関係なく反撃する","|銀の剣|","",true,"敵から攻撃された時、距離に関係なく反撃する","","奥義が発動しやすい(発動カウント-1)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4",3,"武器","",,"剣","不可",,,,16,,true,,400,"","","",,,,,,,,,true,,
36,"聖剣ティルフィング",,2020-10-07,,,"魔防+3<br>敵が魔法の時、戦闘中、最初に受けた攻撃のダメージを50%軽減","|銀の剣|","|ティルフィング|",true,"魔防+3<br>戦闘開始時、自身のHPが50%以上なら、戦闘中、攻撃、守備+5<br>敵が魔法の時、戦闘中、最初に受けた攻撃のダメージを50%軽減","","戦闘開始時、敵のHPが50%以上なら、戦闘中、攻撃、守備+5、かつ、絶対追撃",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,3,,,,,,
37,"瞬閃アイラの剣",,2021-03-04,"しゅんせんアイラのけん",,"速さ+3<br>速さが敵より1以上高い時、自身の攻撃による奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","|銀の剣|","",true,"攻撃、速さ+3<br>奥義が発動しやすい(発動カウント-1)<br>戦闘中、敵の奥義発動カウント変動量+を無効、自分の奥義発動カウント変動量-を無効","","戦闘開始時、敵のHPが75%以上なら、戦闘中、攻撃、速さ、守備、魔防+4、かつ、最初に受けた攻撃のダメージを20%軽減",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,3,,,,,,,,
38,"気鋭ワユの剣",,2019-12-06,"きえいワユのけん",,"攻撃+3<br>奥義発動時、奥義によるダメージ+10","|倭刀|","",true,"攻撃+3<br>奥義発動時、奥義によるダメージ+10","","速さが敵より高い時、ダメージ+速さの差の70%(最大7 速さの虚勢が有効)",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,3,,,,,,,,,
39,"アウドムラ",,2021-02-04,"",Audhulma,"奥義発動カウント-1<br>魔防+5","|キルソード鍛|","",,"奥義発動カウント-1<br>魔防+5","","敵から攻撃された時、または、敵のHPが100%で戦闘開始時、戦闘中、攻撃、速さ、守備、魔防+4、かつ、敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)",3,"武器","",,"剣","不可",,,,16,,true,,400,"","","",,,,,5,-1,,,,,
40,"アーマーキラー鍛+",,,,Armorsmasher+,"重装特効","|アーマーキラー鍛|","|アーマーキラー+|",true,"重装特効","","敵が重装の時、戦闘中、敵の強化の+を無効にする(無効になるのは鼓舞や応援等の+効果)",3,"武器","",,"剣","可",,,,14,,true,,300,"|重装|","","",,,,,,,,,,,
41,"黒き血の大剣",,2020-05-07,"くろきちのたいけん",,"自分から攻撃した時、戦闘中、攻撃、速さ+4","|銀の剣|","",true,"自分から攻撃した時、戦闘中、攻撃、速さ+4","","周囲1マス以内に味方がいない時、戦闘中、攻撃、速さ+5、かつ戦闘中、敵の強化の+を無効にする(無効になるのは、鼓舞や応援等の+効果)",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,,,,,,
42,"火薙ぎの剣",,,"ひなぎのけん","Firesweep Sword","自分、敵ともに反撃不可","|鋼の剣|","",,"","","","","武器","",,"剣","可",,,,11,,,,200,"","","",,,,,,,,,,true,
43,"火薙ぎの剣+",,,"ひなぎのけん+","Firesweep Sword+","自分、敵ともに反撃不可","|火薙ぎの剣|","",,"","","","","武器","",,"剣","可",,,,15,,,,300,"","","",,,,,,,,,,true,
44,"門松",,,"かどまつ",,"周囲2マスの味方は、戦闘中、守備、魔防+2","|鋼の剣|","",,"","","","","武器","",,"剣","可",,,,10,,,,200,"","","",,,,,,,,,,,
45,"門松+",,,"かどまつ+",,"周囲2マスの味方は、戦闘中、守備、魔防+2","|門松|","",true,"","","","","武器","",,"剣","可",,,,14,,,,300,"","","",,,,,,,,,,,
46,"ウイングソード",2018-02-08,2018-02-08,,,"重装、騎馬特効","|銀の剣|","",true,"重装、騎馬特効","","速さが敵より1以上高い時、自身の攻撃による奥義発動カウント変動量+1(同系統効果複数時、最大値適用)",3,"武器","",,"剣","不可",,,,16,,,,400,"|重装|騎馬|","","",,,,,,,,,,,
47,"ファルシオン(紋章)",,2018-02-08,,,"竜特効<br>3ターンに1回、ターン開始時HP10回復","|銀の剣|","",true,"竜特効<br>2ターンに1回、ターン開始時HP10回復","","周囲2マスの味方は、戦闘中、攻撃、速さ、守備、魔防+2",3,"武器","",,"剣","不可",,,,16,,,,400,"|竜|","","",,,,,,,,,,,
48,"ファルシオン(覚醒)",,2018-02-08,,,"竜特効<br>3ターンに1回、ターン開始時HP10回復","|銀の剣|","",true,"竜特効<br>2ターンに1回、ターン開始時HP10回復","","味方と隣接している時、戦闘中、自身の攻撃、速さ、守備、魔防+4",3,"武器","",,"剣","不可",,,,16,,,,400,"|竜|","","",,,,,,,,,,,
49,"ファルシオン(Echoes)",,2018-02-08,,,"竜特効<br>3ターンに1回、ターン開始時HP10回復","|銀の剣|","",true,"竜特効<br>2ターンに1回、ターン開始時HP10回復","","戦闘開始時、自分のHPが100%で、自分から攻撃した時、2回攻撃、その戦闘後、自分に5ダメージ",3,"武器","",,"剣","不可",,,,16,,,,400,"|竜|","","",,,,,,,,,,,
50,"宝剣ソフィア",,2020-07-06,,,"守備+3<br>戦闘開始時、自身のHPが100%なら攻撃、速さ、守備、魔防+4<br>その状態で攻撃した時、戦闘後、自分に4ダメージ","|銀の剣|","",true,"守備+3<br>戦闘中、攻撃、速さ、守備、魔防+4<br>その状態で攻撃した時、戦闘後、自分に4ダメージ","","戦闘開始時、自分か敵のHPが99%以下の時、戦闘中、攻撃、速さ、守備、魔防+4、かつ、自分の攻撃でダメージを与えた時、自分のHP7回復(与えたダメージが0でも効果は発動)",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,3,,,,,,,
51,"封剣ファルシオン",2018-03-09,2020-12-08,,,"竜特効<br>戦闘開始時、自身のHPが99%以下の時、戦闘中の攻撃、速さ、守備、魔防+5","|銀の剣|","|ファルシオン(覚醒)|",true,"竜特効<br>戦闘開始時、自身のHPが99%以下の時、または、自身が【有利な状態】を受けている時、戦闘中の攻撃、速さ、守備、魔防+5","","戦闘開始時、敵のHPが75%以上の時、戦闘中、攻撃、速さ、守備+5、敵は追撃不可",3,"武器","",,"剣","不可",,,,16,,,,400,"|竜|","","",,,,,,,,,,,
52,"無銘の一門の剣",2018-04-10,2018-04-10,"むめいのいちもんのけん",,"奥義が発動しやすい(発動カウント-1)","|銀の剣|","",true,"奥義が発動しやすい(発動カウント-1)","","奥義発動時、奥義によるダメージ+10",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,-1,,,,,
53,"光の剣",,2020-01-08,"ひかりのけん",,"守備+3<br>敵の魔防が敵の守備より5以上低い時、ダメージ+7","|銀の剣|","",true,"守備+3<br>敵の魔防が敵の守備より5以上低い時、ダメージ+7","","奥義が発動しやすい(発動カウント-1)<br>敵のHPが100%で戦闘開始時、戦闘中の自分の速さ、守備+4",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,3,,,,,,,
54,"マスターソード",,2021-02-04,,Meisterschwert,"2回攻撃(敵から攻撃された時も、2回攻撃可能)<br>速さ-5","|銀の剣|","",true,"2回攻撃(敵から攻撃された時も、2回攻撃可能)<br>速さ-5","","戦闘開始時、敵のHPが50%以上なら、戦闘中、攻撃+5、敵の攻撃-5、かつ、自分から攻撃していれば、敵は追撃不可",3,"武器","",,"剣","不可",,,,11,,true,,400,"","","",,,-5,,,,2,2,,,
55,"守りの剣",,,"まもりのけん",,"敵から攻撃された時、戦闘中、守備+7","|鋼の剣|","",,"","","","","武器","",,"剣","可",,,,10,,,,200,"","","",,,,,,,,,,,
56,"守りの剣+",,,"まもりのけん+",,"敵から攻撃された時、戦闘中、守備+7","|守りの剣|","",true,"","","","","武器","",,"剣","可",,,,14,,,,300,"","","",,,,,,,,,,,
57,"魔剣ミストルティン",,2021-08-04,,,"奥義が発動しやすい(発動カウント-1)<br>戦闘(または戦闘前)で奥義を発動した場合、戦闘後、奥義発動カウント-2","|キルソード鍛|","",true,"奥義が発動しやすい(発動カウント-1)<br>戦闘(または戦闘前)で奥義を発動した場合、戦闘後、奥義発動カウント-2","","敵から攻撃された時、または、戦闘開始時、敵のHPが75%以上の時、戦闘中、攻撃、守備+5、かつ、戦闘中、奥義発動時、奥義によるダメージ+7<br>敵のHPが75%以上で戦闘前奥義発動時、戦闘前奥義のダメージ+7",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,-1,,,,,
58,"剣姫の刀",,2021-06-07,"けんきのかたな",,"奥義が発動しやすい(発動カウント-1)<br>速さが敵より高い時、ダメージ+速さの差の70%(最大7。速さの虚勢が有効)","|倭刀|","",true,"奥義が発動しやすい(発動カウント-1)<br>自分から攻撃した時、または、周囲2マス以内に味方がいる時、ダメージ+速さの15%、戦闘中、速さ+5","","戦闘開始時、敵のHPが75%以上の時、戦闘中、攻撃、速さ+5、かつ、戦闘中、敵の絶対追撃を無効、かつ、自分の追撃不可を無効",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,-1,,,,,
59,"スクルド",,,,,"「歌う」「踊る」使用時、対象の攻撃、速さ、守備、魔防+3","|銀の剣|","",,"","","","","武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,,,,,,
60,"王家の剣",,2020-09-07,"おうけのつるぎ",,"速さ+3<br>周囲2マス以内に味方がいる時、自身の攻撃による奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","|銀の剣|","",true,"速さ+3<br>自分から攻撃した時、または、周囲2マス以内に味方がいる時、自身の攻撃による奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","","戦闘開始時、自身のHPが25%以上なら戦闘中、攻撃、速さ、守備、魔防+5、かつ、戦闘後、HP7回復、奥義発動カウント-1",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,3,,,,,,,,
61,"神剣ファルシオン",,2021-11-04,"しんけんファルシオン","Exalted Falchion","速さ+3<br>竜特効<br>戦闘中、攻撃、速さ、守備、魔防が自分が受けている攻撃、速さ、守備、魔防の強化の値だけ上昇(能力値ごとに計算)","|銀の剣|","",true,"速さ+3<br>竜特効<br>戦闘中、攻撃、速さ、守備、魔防が自分が受けている攻撃、速さ、守備、魔防の強化の値だけ上昇(能力値ごとに計算)<br>戦闘開始時、自身のHPが50%以上、または、自身が【有利な状態】を受けている時、戦闘中、攻撃、速さ、守備、魔防+4<br>【有利な状態】「1ターン」の効果全般(強化、移動+1、敵弱化ダメージ+等)","","自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+4、かつ、自分が弱化を受けていれば、能力値が弱化の値の2倍だけ上昇(能力値ごとに計算)(例えば、攻撃-7の弱化を受けていれば、-7+14+4で、戦闘中、攻撃+11となる)",3,"武器","",,"剣","不可",,,,16,,,,400,"|竜|","","",,,3,,,,,,,,
62,"バリアの剣",,,"バリアのけん",,"敵から攻撃された時、戦闘中、魔防+7","|鋼の剣|","",,"","","","","武器","",,"剣","可",,,,10,,,,200,"","","",,,,,,,,,,,
63,"バリアの剣+",,,"バリアのけん+",,"敵から攻撃された時、戦闘中、魔防+7","|バリアの剣|","",true,"","","","","武器","",,"剣","可",,,,14,,,,300,"","","",,,,,,,,,,,
64,"レーヴァテイン",,2021-10-06,,Laevatein,"攻撃+3<br>自分が受けている強化の合計値を攻撃に加算","|銀の剣|","",true,"攻撃+3<br>自分が受けている強化の合計値を攻撃に加算<br>戦闘開始時、自身のHPが50%以上、または、自身が【有利な状態】を受けている時、戦闘中、攻撃、守備+5<br>【有利な状態】「1ターン」の効果全般(強化、移動+1、敵弱化ダメージ+等)","","ターン開始時、周囲2マス以内に味方がいる時、自分の攻撃、守備+6(1ターン)<br>ターン開始時、周囲2マス以内に支援相手がいる時、支援相手の攻撃、守備+6(1ターン)<br>戦闘開始時、敵のHPが75%以上の時、戦闘中、攻撃、守備+5",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,3,,,,,,,,,
65,"ニーウ",,2021-08-04,,,"速さ+3<br>戦闘中、敵が受けている強化の合計値の50%を自分の攻撃、速さ、守備、魔防に加算","|銀の剣|","",true,"速さ+3<br>戦闘中、自分と敵が受けている強化の合計値の40%を自分の攻撃、速さ、守備、魔防に加算(最大10)","","戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4、かつ、敵の絶対追撃を無効、自分の追撃不可を無効",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,3,,,,,,,,
66,"孤高の剣",,2018-10-09,"ここうのけん",,"奥義が発動しやすい(発動カウント-1)","|銀の剣|","",true,"奥義が発動しやすい(発動カウント-1)","","攻撃、速さ+5、守備、魔防-5",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,-1,,,,,
67,"ミステルトィン",,2021-10-06,,Missiletainn,"奥義が発動しやすい(発動カウント-1)<br>戦闘中、敵の攻撃によりダメージを受けた時、奥義発動カウント変動量+1<br>(同系統効果複数時、最大値適用)(この効果は受けたダメージが0の場合も発動する)","|銀の剣|","",true,"奥義が発動しやすい(発動カウント-1)<br>戦闘中、敵の攻撃によりダメージを受けた時、奥義発動カウント変動量+1<br>(同系統効果複数時、最大値適用)(この効果は受けたダメージが0の場合も発動する)<br>戦闘開始時、敵のHPが50%以上の時、戦闘中、攻撃、速さ+5","","周囲3マス以内に味方がいる時、戦闘中、攻撃、速さ+5、かつ、奥義発動時、ダメージ+自分のHP減少量(最大30)",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,-1,,,,,
68,"雷剣ジークリンデ",,2022-01-06,,"Storm Sieglinde","攻撃+3<br>周囲2マス以内の敵と味方の数(自身と戦闘相手を除く)が同じか敵の方が多い時、戦闘中、守備、魔防+3、かつ自身の攻撃による奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","|銀の剣|","",true,"攻撃+3<br>自分から攻撃した時、または、周囲1マス以内に味方がいない時、戦闘中、攻撃、速さ、守備、魔防+4、かつ、自身の奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","","戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4、かつ、速さが敵より高い時、受けた範囲奥義のダメージと、戦闘中に攻撃を受けた時のダメージを速さの差×4%軽減(最大40%)(巨影の範囲奥義を除く)",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,3,,,,,,,,,
69,"鉄の槍",,,,,"効果なし","","",,"","","","","武器","",,"槍","可",,,,6,,true,,50,"","","",,,,,,,,,,,
70,"鋼の槍",,,,,"効果なし","|鉄の槍|","",,"","","","","武器","",,"槍","可",,,,8,,true,,100,"","","",,,,,,,,,,,
71,"銀の槍",,,,,"効果なし","|鋼の槍|","",,"","","","","武器","",,"槍","可",,,,11,,true,,200,"","","",,,,,,,,,,,
72,"銀の槍+",,,,,"効果なし","|銀の槍|","",true,"","","","","武器","",,"槍","可",,,,15,16,true,,300,"","","",,,,,,,,,,,
73,"キラーランス",,,,,"奥義が発動しやすい(発動カウント-1)","|鋼の槍|","",,"","","","","武器","",,"槍","可",,,,7,,true,,200,"","","",,,,,,-1,,,,,
74,"キラーランス+",,,,,"奥義が発動しやすい(発動カウント-1)","|キラーランス|","",,"","","","","武器","",,"槍","可",,,,11,,true,,300,"","","",,,,,,-1,,,,,
75,"貫きの槍",,,,,"重装特効","|鋼の槍|","",,"","","","","武器","",,"槍","可",,,,8,,true,,200,"|重装|","","",,,,,,,,,,,
76,"貫きの槍+",,,,,"重装特効","|貫きの槍|","",,"","","","","武器","",,"槍","可",,,,12,,true,,300,"|重装|","","",,,,,,,,,,,
77,"蒼海の槍",,,"そうかいのやり",,"3すくみ有利だと、さらに攻撃+20%、3すくみ不利だと、さらに攻撃-20%","|鋼の槍|","",,"","","","","武器","",,"槍","可",,,,8,,,,200,"","","",,,,,,,,,,,
78,"蒼海の槍+",,,"そうかいのやり+",,"3すくみ有利だと、さらに攻撃+20%、3すくみ不利だと、さらに攻撃-20%","|蒼海の槍|","",,"","","","","武器","",,"槍","可",,,,12,,,,300,"","","",,,,,,,,,,,
79,"勇者の槍",,,,,"自分から攻撃した時、2回攻撃<br>速さ-5","|鋼の槍|","",,"","","","","武器","",,"槍","可",,,,5,,true,,200,"","","",,,-5,,,,2,,,,
80,"勇者の槍+",,,,,"自分から攻撃した時、2回攻撃<br>速さ-5","|勇者の槍|","",,"","","","","武器","",,"槍","可",,,,8,,true,,300,"","","",,,-5,,,,2,,,,
81,"フェンサリル",,2018-08-09,,,"ターン開始時、周囲2マスの敵の攻撃-4(敵の次回行動終了まで)","|銀の槍|","",true,"戦闘中、敵の強化の+を無効にする(無効になるのは、鼓舞や応援等の+効果)","","味方と隣接している時、戦闘中、自身の速さ、守備+5",3,"武器","",,"槍","不可",,,,16,,,,400,"","","",,,,,,,,,,,
82,"ジークムント",,2017-11-28,,,"ターン開始時、周囲1マスの味方の攻撃+3(1ターン)","|貫きの槍|","",true,"ターン開始時、周囲1マスの味方の攻撃+4(1ターン)","","自分のHPが90%以上で、自分から攻撃した時、絶対追撃",3,"武器","",,"槍","不可",,,,16,,,,400,"","","",,,,,,,,,,,
83,"ニンジンの槍",,,,,"自分から攻撃した時、戦闘後、HP4回復","|鋼の槍|","",,"","","","","武器","",,"槍","可",,,,9,,,,200,"","","",,,,,,,,,,,
84,"ニンジンの槍+",,,,,"自分から攻撃した時、戦闘後、HP4回復","|ニンジンの槍|","",true,"","","","","武器","",,"槍","可",,,,13,,,,300,"","","",,,,,,,,,,,
85,"ファーストバイト",,,,,"自分から攻撃した時、戦闘後、自分の周囲2マスの味方の守備、魔防+2(1ターン)","|鋼の槍|","",,"","","","","武器","",,"槍","可",,,,10,,,,200,"","","",,,,,,,,,,,
86,"ファーストバイト+",,,,,"自分から攻撃した時、戦闘後、自分の周囲2マスの味方の守備、魔防+2(1ターン)","|ファーストバイト|","",true,"","","","","武器","",,"槍","可",,,,14,,,,300,"","","",,,,,,,,,,,
