id,name,english_name,description,refine_description,special_refine_description
23,"ティルフィング",,"自分のHPが50%以下の時、戦闘時、守備+4","戦闘開始時、自身のHPが50%以上ならHPが2以上で敵の致死攻撃を受けた時、ダメージをHPが1残るように軽減(1戦闘1回のみ、重複しない)","味方と隣接している時、戦闘中、自身の攻撃、守備+5"
24,"デュランダル",,"自分から攻撃した時、戦闘中の攻撃+6","自分から攻撃した時、戦闘中の攻撃+6","自分から攻撃した時、戦闘中の攻撃、速さ+4"
25,"ジークフリート",,"敵から攻撃された時、距離に関係なく反撃する","敵から攻撃された時、距離に関係なく反撃する","戦闘開始時、敵のHPが75%以上なら、戦闘中、敵の攻撃、守備-5、敵は追撃不可"
26,"エッケザックス",,"ターン開始時、周囲2マスの敵の守備-4(敵の次回行動終了まで)","ターン開始時、周囲2マスの竜以外の敵の守備-6(敵の次回行動終了まで)","弓、暗器、魔法、杖の敵から攻撃された時、戦闘中、守備、魔防+6"
27,"ラグネル",,"敵から攻撃された時、距離に関係なく反撃する","敵から攻撃された時、距離に関係なく反撃する","奥義が発動しやすい(発動カウント-1)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4"
28,"リガルブレイド",,"敵のHPが100%で戦闘開始時、戦闘中の自分の攻撃、速さ+2","敵のHPが100%で戦闘開始時、戦闘中の自分の攻撃、速さ+3","魔法かつ歩行の味方が2マス以内にいる時、戦闘中、自身の攻撃、速さ、守備、魔防+3"
29,"斬馬刀",,"騎馬特効","",""
30,"斬馬刀+",,"騎馬特効","",""
31,"キルソード鍛","Slaying Edge","奥義が発動しやすい(発動カウント-1)","",""
32,"キルソード鍛+","Slaying Edge","奥義が発動しやすい(発動カウント-1)","",""
33,"烈剣デュランダル",,"攻撃+3<br>攻撃が敵より高い時、自身の攻撃による奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","攻撃+3<br>自分から攻撃した時、自身の奥義発動カウント変動量+1<br>敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)","自分から攻撃した時、戦闘中、速さ+7、守備+10、敵は追撃不可"
34,"アミーテ",,"自分から攻撃した時、2回攻撃<br>速さ-2","自分から攻撃した時、2回攻撃<br>速さ-2","自分から攻撃した時、戦闘中の攻撃、速さ+4"
35,"エタルド",,"敵から攻撃された時、距離に関係なく反撃する","敵から攻撃された時、距離に関係なく反撃する","奥義が発動しやすい(発動カウント-1)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4"
36,"聖剣ティルフィング",,"魔防+3<br>敵が魔法の時、戦闘中、最初に受けた攻撃のダメージを50%軽減","魔防+3<br>戦闘開始時、自身のHPが50%以上なら、戦闘中、攻撃、守備+5<br>敵が魔法の時、戦闘中、最初に受けた攻撃のダメージを50%軽減","戦闘開始時、敵のHPが50%以上なら、戦闘中、攻撃、守備+5、かつ、絶対追撃"
37,"瞬閃アイラの剣",,"速さ+3<br>速さが敵より1以上高い時、自身の攻撃による奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","攻撃、速さ+3<br>奥義が発動しやすい(発動カウント-1)<br>戦闘中、敵の奥義発動カウント変動量+を無効、自分の奥義発動カウント変動量-を無効","戦闘開始時、敵のHPが75%以上なら、戦闘中、攻撃、速さ、守備、魔防+4、かつ、最初に受けた攻撃のダメージを20%軽減"
38,"気鋭ワユの剣",,"攻撃+3<br>奥義発動時、奥義によるダメージ+10","攻撃+3<br>奥義発動時、奥義によるダメージ+10","速さが敵より高い時、ダメージ+速さの差の70%(最大7 速さの虚勢が有効)"
39,"アウドムラ",Audhulma,"奥義発動カウント-1<br>魔防+5","奥義発動カウント-1<br>魔防+5","敵から攻撃された時、または、敵のHPが100%で戦闘開始時、戦闘中、攻撃、速さ、守備、魔防+4、かつ、敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)"
40,"アーマーキラー鍛+",Armorsmasher+,"重装特効","重装特効","敵が重装の時、戦闘中、敵の強化の+を無効にする(無効になるのは鼓舞や応援等の+効果)"
41,"黒き血の大剣",,"自分から攻撃した時、戦闘中、攻撃、速さ+4","自分から攻撃した時、戦闘中、攻撃、速さ+4","周囲1マス以内に味方がいない時、戦闘中、攻撃、速さ+5、かつ戦闘中、敵の強化の+を無効にする(無効になるのは、鼓舞や応援等の+効果)"
42,"火薙ぎの剣","Firesweep Sword","自分、敵ともに反撃不可","",""
43,"火薙ぎの剣+","Firesweep Sword+","自分、敵ともに反撃不可","",""
44,"門松",,"周囲2マスの味方は、戦闘中、守備、魔防+2","",""
45,"門松+",,"周囲2マスの味方は、戦闘中、守備、魔防+2","",""
46,"ウイングソード",,"重装、騎馬特効","重装、騎馬特効","速さが敵より1以上高い時、自身の攻撃による奥義発動カウント変動量+1(同系統効果複数時、最大値適用)"
47,"ファルシオン(紋章)",,"竜特効<br>3ターンに1回、ターン開始時HP10回復","竜特効<br>2ターンに1回、ターン開始時HP10回復","周囲2マスの味方は、戦闘中、攻撃、速さ、守備、魔防+2"
48,"ファルシオン(覚醒)",,"竜特効<br>3ターンに1回、ターン開始時HP10回復","竜特効<br>2ターンに1回、ターン開始時HP10回復","味方と隣接している時、戦闘中、自身の攻撃、速さ、守備、魔防+4"
49,"ファルシオン(Echoes)",,"竜特効<br>3ターンに1回、ターン開始時HP10回復","竜特効<br>2ターンに1回、ターン開始時HP10回復","戦闘開始時、自分のHPが100%で、自分から攻撃した時、2回攻撃、その戦闘後、自分に5ダメージ"
50,"宝剣ソフィア",,"守備+3<br>戦闘開始時、自身のHPが100%なら攻撃、速さ、守備、魔防+4<br>その状態で攻撃した時、戦闘後、自分に4ダメージ","守備+3<br>戦闘中、攻撃、速さ、守備、魔防+4<br>その状態で攻撃した時、戦闘後、自分に4ダメージ","戦闘開始時、自分か敵のHPが99%以下の時、戦闘中、攻撃、速さ、守備、魔防+4、かつ、自分の攻撃でダメージを与えた時、自分のHP7回復(与えたダメージが0でも効果は発動)"
51,"封剣ファルシオン",,"竜特効<br>戦闘開始時、自身のHPが99%以下の時、戦闘中の攻撃、速さ、守備、魔防+5","竜特効<br>戦闘開始時、自身のHPが99%以下の時、または、自身が【有利な状態】を受けている時、戦闘中の攻撃、速さ、守備、魔防+5","戦闘開始時、敵のHPが75%以上の時、戦闘中、攻撃、速さ、守備+5、敵は追撃不可"
52,"無銘の一門の剣",,"奥義が発動しやすい(発動カウント-1)","奥義が発動しやすい(発動カウント-1)","奥義発動時、奥義によるダメージ+10"
53,"光の剣",,"守備+3<br>敵の魔防が敵の守備より5以上低い時、ダメージ+7","守備+3<br>敵の魔防が敵の守備より5以上低い時、ダメージ+7","奥義が発動しやすい(発動カウント-1)<br>敵のHPが100%で戦闘開始時、戦闘中の自分の速さ、守備+4"
54,"マスターソード",Meisterschwert,"2回攻撃(敵から攻撃された時も、2回攻撃可能)<br>速さ-5","2回攻撃(敵から攻撃された時も、2回攻撃可能)<br>速さ-5","戦闘開始時、敵のHPが50%以上なら、戦闘中、攻撃+5、敵の攻撃-5、かつ、自分から攻撃していれば、敵は追撃不可"
55,"守りの剣",,"敵から攻撃された時、戦闘中、守備+7","",""
56,"守りの剣+",,"敵から攻撃された時、戦闘中、守備+7","",""
57,"魔剣ミストルティン",,"奥義が発動しやすい(発動カウント-1)<br>戦闘(または戦闘前)で奥義を発動した場合、戦闘後、奥義発動カウント-2","奥義が発動しやすい(発動カウント-1)<br>戦闘(または戦闘前)で奥義を発動した場合、戦闘後、奥義発動カウント-2","敵から攻撃された時、または、戦闘開始時、敵のHPが75%以上の時、戦闘中、攻撃、守備+5、かつ、戦闘中、奥義発動時、奥義によるダメージ+7<br>敵のHPが75%以上で戦闘前奥義発動時、戦闘前奥義のダメージ+7"
58,"剣姫の刀",,"奥義が発動しやすい(発動カウント-1)<br>速さが敵より高い時、ダメージ+速さの差の70%(最大7。速さの虚勢が有効)","奥義が発動しやすい(発動カウント-1)<br>自分から攻撃した時、または、周囲2マス以内に味方がいる時、ダメージ+速さの15%、戦闘中、速さ+5","戦闘開始時、敵のHPが75%以上の時、戦闘中、攻撃、速さ+5、かつ、戦闘中、敵の絶対追撃を無効、かつ、自分の追撃不可を無効"
59,"スクルド",,"「歌う」「踊る」使用時、対象の攻撃、速さ、守備、魔防+3","",""
60,"王家の剣",,"速さ+3<br>周囲2マス以内に味方がいる時、自身の攻撃による奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","速さ+3<br>自分から攻撃した時、または、周囲2マス以内に味方がいる時、自身の攻撃による奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","戦闘開始時、自身のHPが25%以上なら戦闘中、攻撃、速さ、守備、魔防+5、かつ、戦闘後、HP7回復、奥義発動カウント-1"
61,"神剣ファルシオン","Exalted Falchion","速さ+3<br>竜特効<br>戦闘中、攻撃、速さ、守備、魔防が自分が受けている攻撃、速さ、守備、魔防の強化の値だけ上昇(能力値ごとに計算)","速さ+3<br>竜特効<br>戦闘中、攻撃、速さ、守備、魔防が自分が受けている攻撃、速さ、守備、魔防の強化の値だけ上昇(能力値ごとに計算)<br>戦闘開始時、自身のHPが50%以上、または、自身が【有利な状態】を受けている時、戦闘中、攻撃、速さ、守備、魔防+4<br>【有利な状態】「1ターン」の効果全般(強化、移動+1、敵弱化ダメージ+等)","自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+4、かつ、自分が弱化を受けていれば、能力値が弱化の値の2倍だけ上昇(能力値ごとに計算)(例えば、攻撃-7の弱化を受けていれば、-7+14+4で、戦闘中、攻撃+11となる)"
62,"バリアの剣",,"敵から攻撃された時、戦闘中、魔防+7","",""
63,"バリアの剣+",,"敵から攻撃された時、戦闘中、魔防+7","",""
64,"レーヴァテイン",Laevatein,"攻撃+3<br>自分が受けている強化の合計値を攻撃に加算","攻撃+3<br>自分が受けている強化の合計値を攻撃に加算<br>戦闘開始時、自身のHPが50%以上、または、自身が【有利な状態】を受けている時、戦闘中、攻撃、守備+5<br>【有利な状態】「1ターン」の効果全般(強化、移動+1、敵弱化ダメージ+等)","ターン開始時、周囲2マス以内に味方がいる時、自分の攻撃、守備+6(1ターン)<br>ターン開始時、周囲2マス以内に支援相手がいる時、支援相手の攻撃、守備+6(1ターン)<br>戦闘開始時、敵のHPが75%以上の時、戦闘中、攻撃、守備+5"
65,"ニーウ",,"速さ+3<br>戦闘中、敵が受けている強化の合計値の50%を自分の攻撃、速さ、守備、魔防に加算","速さ+3<br>戦闘中、自分と敵が受けている強化の合計値の40%を自分の攻撃、速さ、守備、魔防に加算(最大10)","戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4、かつ、敵の絶対追撃を無効、自分の追撃不可を無効"
66,"孤高の剣",,"奥義が発動しやすい(発動カウント-1)","奥義が発動しやすい(発動カウント-1)","攻撃、速さ+5、守備、魔防-5"
67,"ミステルトィン",Missiletainn,"奥義が発動しやすい(発動カウント-1)<br>戦闘中、敵の攻撃によりダメージを受けた時、奥義発動カウント変動量+1<br>(同系統効果複数時、最大値適用)(この効果は受けたダメージが0の場合も発動する)","奥義が発動しやすい(発動カウント-1)<br>戦闘中、敵の攻撃によりダメージを受けた時、奥義発動カウント変動量+1<br>(同系統効果複数時、最大値適用)(この効果は受けたダメージが0の場合も発動する)<br>戦闘開始時、敵のHPが50%以上の時、戦闘中、攻撃、速さ+5","周囲3マス以内に味方がいる時、戦闘中、攻撃、速さ+5、かつ、奥義発動時、ダメージ+自分のHP減少量(最大30)"
68,"雷剣ジークリンデ","Storm Sieglinde","攻撃+3<br>周囲2マス以内の敵と味方の数(自身と戦闘相手を除く)が同じか敵の方が多い時、戦闘中、守備、魔防+3、かつ自身の攻撃による奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","攻撃+3<br>自分から攻撃した時、または、周囲1マス以内に味方がいない時、戦闘中、攻撃、速さ、守備、魔防+4、かつ、自身の奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4、かつ、速さが敵より高い時、受けた範囲奥義のダメージと、戦闘中に攻撃を受けた時のダメージを速さの差×4%軽減(最大40%)(巨影の範囲奥義を除く)"
69,"鉄の槍",,"効果なし","",""
70,"鋼の槍",,"効果なし","",""
71,"銀の槍",,"効果なし","",""
72,"銀の槍+",,"効果なし","",""
73,"キラーランス",,"奥義が発動しやすい(発動カウント-1)","",""
74,"キラーランス+",,"奥義が発動しやすい(発動カウント-1)","",""
75,"貫きの槍",,"重装特効","",""
76,"貫きの槍+",,"重装特効","",""
77,"蒼海の槍",,"3すくみ有利だと、さらに攻撃+20%、3すくみ不利だと、さらに攻撃-20%","",""
78,"蒼海の槍+",,"3すくみ有利だと、さらに攻撃+20%、3すくみ不利だと、さらに攻撃-20%","",""
79,"勇者の槍",,"自分から攻撃した時、2回攻撃<br>速さ-5","",""
80,"勇者の槍+",,"自分から攻撃した時、2回攻撃<br>速さ-5","",""
81,"フェンサリル",,"ターン開始時、周囲2マスの敵の攻撃-4(敵の次回行動終了まで)","戦闘中、敵の強化の+を無効にする(無効になるのは、鼓舞や応援等の+効果)","味方と隣接している時、戦闘中、自身の速さ、守備+5"
82,"ジークムント",,"ターン開始時、周囲1マスの味方の攻撃+3(1ターン)","ターン開始時、周囲1マスの味方の攻撃+4(1ターン)","自分のHPが90%以上で、自分から攻撃した時、絶対追撃"
83,"ニンジンの槍",,"自分から攻撃した時、戦闘後、HP4回復","",""
84,"ニンジンの槍+",,"自分から攻撃した時、戦闘後、HP4回復","",""
85,"ファーストバイト",,"自分から攻撃した時、戦闘後、自分の周囲2マスの味方の守備、魔防+2(1ターン)","",""
86,"ファーストバイト+",,"自分から攻撃した時、戦闘後、自分の周囲2マスの味方の守備、魔防+2(1ターン)","",""
87,"グラディウス",,"敵から攻撃された時、距離に関係なく反撃する","敵から攻撃された時、距離に関係なく反撃する","敵から攻撃された時、または、敵のHPが100%で戦闘開始時、戦闘中、自分の攻撃、速さ、守備、魔防+4、かつ、戦闘中、自分の攻撃でダメージを与えた時、自分のHP7回復(与えたダメージが0でも効果は発動)"
88,"火薙ぎの槍","Firesweep Lance","自分敵ともに反撃不可","",""
89,"火薙ぎの槍+","Firesweep Lance+","自分、敵ともに反撃不可","",""
90,"魚を突いた銛",,"戦闘開始時、自身のHPが100%なら攻撃、速さ、守備、魔防+2<br>その状態で攻撃したとき、戦闘後、自分に2ダメージ","",""
91,"魚を突いた銛+",,"戦闘開始時、自身のHPが100%なら攻撃、速さ、守備、魔防+2<br>その状態で攻撃したとき、戦闘後、自分に2ダメージ","",""
92,"ホースキラー",,"騎馬特効","",""
93,"ホースキラー+",,"騎馬特効","",""
94,"ベルクトの槍",,"敵から攻撃された時、魔防+4","",""
95,"ベルクトの槍+","Berkut's Lance+","敵から攻撃された時、魔防+4","敵から攻撃された時、魔防+7",""
96,"魔性の槍","Cursed Lance","攻撃、速さ+2<br>奥義発動カウント-1<br>戦闘後、自分に4ダメージ","奥義が発動しやすい(発動カウント-1)<br>攻撃、速さ、守備、魔防+3<br>戦闘後、自分に6ダメージ","戦闘開始時、自身のHPが99%以下、または敵が【不利な状態異常】を受けている時、戦闘中、自身の攻撃、速さ、守備+5、かつ、戦闘中、敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)"
97,"ヴィドフニル",,"剣、槍、斧の敵から攻撃された時、戦闘中の守備+7","剣、槍、斧、竜、獣の敵から攻撃された時、戦闘中の守備、魔防+7","歩行、重装の味方が2マス以内にいる時、戦闘中、自身の攻撃、速さ+4"
98,"ゲイルスケグル",,"守備+3<br>周囲2マスの剣槍斧弓暗器獣の味方は、戦闘中、攻撃、速さ+3","竜特効<br>守備+3<br>周囲2マスの剣槍斧弓暗器獣の味方は、戦闘中、攻撃、速さ+3","周囲2マスの剣槍斧弓暗器獣の味方は、戦闘中、守備、魔防+3かつ敵から攻撃された時、奥義発動カウント変動量+1(同系統効果複数時、最大値適用)"
99,"キラーランス鍛",,"奥義が発動しやすい(発動カウント-1)","",""
100,"キラーランス鍛+",,"奥義が発動しやすい(発動カウント-1)","",""
101,"貫きの槍鍛+",,"重装特効","重装特効","敵が重装の時、戦闘中、敵の強化の+を無効にする(無効になるのは、鼓舞や応援等の+効果)"
102,"レイプト",,"敵から攻撃された時、距離に関係なく反撃する","敵から攻撃された時、距離に関係なく反撃する","戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4、かつ、戦闘中、自身の弱化を無効<br>戦闘開始時、自身のHPが25%以上で敵から攻撃された時、戦闘中、守備、魔防+4"
103,"白き血の薙刀","Bright Naginata","敵から攻撃された時、戦闘中、攻撃、守備+4","敵から攻撃された時、戦闘中、攻撃、守備+4","周囲2マス以内に味方がいる時、戦闘中、自身の攻撃、守備+5、かつ弱化を無効"
104,"聖樹",,"敵から攻撃された時、戦闘中、攻撃、速さ、守備、魔防+2","",""
105,"聖樹+",,"敵から攻撃された時、戦闘中、攻撃、速さ、守備、魔防+2","",""
106,"ヒノカの紅薙刀",,"歩行か飛行の味方が2マス以内にいる時、戦闘中、自身の攻撃、速さ+4","歩行か飛行の味方が2マス以内にいる時、戦闘中、自身の攻撃、速さ+4","周囲2マス以内の味方歩行、飛行は、自身の隣接マスに移動可能"
107,"カサブランカ",,"敵が弓、暗器、魔法、杖の時、戦闘中、敵の強化の+を無効にする(無効になるのは、鼓舞や応援等の+効果)","",""
108,"カサブランカ+",,"敵が弓、暗器、魔法、杖の時、戦闘中、敵の強化の+を無効にする(無効になるのは、鼓舞や応援等の+効果)","",""
109,"炎槍ジークムント","Frame Siegund","攻撃+3<br>周囲2マス以内の敵と味方の数(自身と戦闘相手を除く)が同じか敵の方が多い時、絶対追撃","攻撃+3<br>自分から攻撃した時、または、周囲1マス以内に味方がいない時、戦闘中、攻撃、守備+4、絶対追撃","戦闘開始時、自身のHPが25%以上なら、戦闘中、敵の攻撃、守備-5、かつ、戦闘中、自身の奥義発動カウント変動量+1(同系統効果複数時、最大値適用)"
110,"倭鉾",,"奥義発動時、奥義によるダメージ+10","",""
111,"倭鉾+",,"奥義発動時、奥義によるダメージ+10","",""
112,"ロムファイア",,"重装、騎馬特効","重装、騎馬特効","速さが敵より1以上高い時、自身の攻撃による奥義発動カウント変動量+1(同系統効果複数時、最大値適用)"
113,"貝殻の槍",,"自分から攻撃した時、戦闘中の攻撃、速さ、守備、魔防+2","",""
114,"貝殻の槍+",,"自分から攻撃した時、戦闘中の攻撃、速さ、守備、魔防+2","",""
115,"義勇の槍",,"重装特効<br>奥義が発動しやすい(発動カウント-1)","重装特効<br>奥義が発動しやすい(発動カウント-1)","敵から攻撃された時、戦闘中、速さ、守備+4"
116,"反攻の槍",,"敵から攻撃された時、戦闘中、攻撃+6","",""
117,"反攻の槍+",,"敵から攻撃された時、戦闘中、攻撃+6","",""
118,"マルテ",,"奥義が発動しやすい(発動カウント-1)<br>自分のHPが50%以上で、敵から攻撃された時、絶対追撃","重装特効無効<br>奥義が発動しやすい(発動カウント-1)<br>自分のHPが25%以上で敵から攻撃された時、絶対追撃、かつ、自身の弱化を無効化","敵から攻撃された時、または、敵のHPが100%で戦闘開始時、戦闘中、敵の攻撃、守備-6、敵は追撃不可"
119,"ゲイボルグ","Gáe Bolg","敵が歩行、重装、騎馬の時、戦闘中、自身の攻撃、守備+5","敵が歩行、重装、騎馬の時、戦闘中、自身の攻撃、守備+5","自分を除く自軍に、剣、槍、斧、または、騎馬の味方がいる時、戦闘中、自身の攻撃、守備+5<br>周囲3マスの剣、槍、斧、または騎馬の味方は、戦闘中、攻撃、守備+5"
120,"鉄の斧",,"効果なし","",""
121,"鋼の斧",,"効果なし","",""
122,"銀の斧",,"効果なし","",""
123,"銀の斧+",,"効果なし","",""
124,"キラーアクス",,"奥義が発動しやすい(発動カウント-1)","",""
125,"キラーアクス+",,"奥義が発動しやすい(発動カウント-1)","",""
126,"ハンマー",,"重装特効","",""
127,"ハンマー+",,"重装特効","",""
128,"深緑の斧",,"3すくみ有利だと、さらに攻撃+20%、3すくみ不利だと、さらに攻撃-20%","",""
129,"深緑の斧+",,"3すくみ有利だと、さらに攻撃+20%、3すくみ不利だと、さらに攻撃-20%","",""
130,"勇者の斧",,"自分から攻撃した時、2回攻撃<br>速さ-5","",""
131,"勇者の斧+",,"自分から攻撃した時、2回攻撃<br>速さ-5","",""
132,"ノーアトゥーン",,"自分のHPが40%以下の時、味方の隣接マスへ移動可能","自分のHPが50%以下の時、味方の隣接マスへ移動可能","自身のHPが50%以上の時、周囲2マス以内の味方の隣接マスに移動可能"
133,"オートクレール",,"奥義が発動しやすい(発動カウント-1)","奥義が発動しやすい(-1)","奥義発動時、奥義によるダメージ+10"
134,"アルマーズ",,"自分のHPが80%以上で、敵から攻撃された時、絶対追撃","",""
135,"ニンジンの斧",,"自分から攻撃した時、戦闘後、HP4回復","",""
136,"ニンジンの斧+",,"自分から攻撃した時、戦闘後、HP4回復","",""
137,"ローローの斧",,"戦闘中に攻撃していれば、戦闘後に敵の強化を+ではなく-とする(敵の次回行動終了まで)","",""
138,"ローローの斧+",,"戦闘中に攻撃していれば、戦闘後に敵の強化を+ではなく-とする(敵の次回行動終了まで)","",""
139,"スイカ割りの棍棒",,"戦闘開始時、自身のHPが100%なら攻撃、速さ、守備、魔防+2<br>その状態で攻撃したとき、戦闘後、自分に2ダメージ","",""
140,"スイカ割りの棍棒+",,"戦闘開始時、自身のHPが100%なら攻撃、速さ、守備、魔防+2<br>その状態で攻撃したとき、戦闘後、自分に2ダメージ","",""
141,"リリスの浮き輪",,"周囲2マスの味方は、戦闘中、攻撃、速さ+1","",""
142,"リリスの浮き輪+",,"周囲2マスの味方は、戦闘中、攻撃、速さ+1","",""
143,"キラーアクス鍛",,"奥義が発動しやすい(発動カウント-1)","",""
144,"キラーアクス鍛+",,"奥義が発動しやすい(発動カウント-1)","",""
145,"ウルヴァン",,"奥義発動カウント-1<br>連続して攻撃を受けた時、2回目以降のダメージを80%軽減","奥義発動カウント-1<br>連続して攻撃を受けた時、2回目以降のダメージを80%軽減","戦闘中、最初に受けた攻撃のダメージを40%軽減<br>敵から攻撃された時、敵が追撃可能なら敵の攻撃の直後に敵が追撃を行う"
146,"ウルズ",,"「歌う」「踊る」使用時、対象の攻撃、速さ、守備、魔防+3","",""
147,"剛斧トマホーク",,"敵から攻撃された時、距離に関係なく反撃する","敵から攻撃された時、距離に関係なく反撃する","自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、敵の攻撃、守備-5、敵の強化の+を無効にする(無効になるのは、鼓舞や応援等の+効果)"
148,"ハンマー鍛+",,"重装特効","重装特効<br>敵が重装の時、戦闘中、敵の強化の+を無効にする(無効になるのは、鼓舞や応援等の+効果)",""
149,"ハンドベル",,"敵から攻撃された時、戦闘中、攻撃、速さ、守備、魔防+2","",""
150,"ハンドベル+",,"敵から攻撃された時、戦闘中、攻撃、速さ、守備、魔防+2","",""
151,"プレゼント袋",,"敵から攻撃された時、戦闘中、攻撃、速さ、守備、魔防+2","",""
152,"プレゼント袋+",,"敵から攻撃された時、戦闘中、攻撃、速さ、守備、魔防+2","",""
153,"羽子板",,"周囲2マスの味方は、戦闘中、守備、魔防+2","",""
154,"羽子板+",,"周囲2マスの味方は、戦闘中、守備、魔防+2","",""
155,"バシリコス",,"奥義が発動しやすい(発動カウント-1)","奥義が発動しやすい(発動カウント-1)","攻撃、速さ+5<br>守備、魔防-5"
156,"狂斧アルマーズ","Berserk Armads","奥義が発動しやすい(発動カウント-1)<br>自身のHP75%以下で、攻撃時発動の奥義装備時、ターン開始時、奥義発動カウント-1<br>奥義発動時、奥義によるダメージ+10","奥義が発動しやすい(発動カウント-1)<br>自身のHP75%以下で、攻撃時発動の奥義装備時、ターン開始時、奥義発動カウント-1<br>奥義発動時、奥義によるダメージ+10","敵から攻撃された時、または、敵のHPが100%で戦闘開始時、戦闘中、敵の攻撃、守備-5、かつ、戦闘中、奥義による攻撃でダメージを与えた時、自分の最大HPの30%回復(与えたダメージが0でも効果は発動)"
157,"ポールアクス",,"騎馬特効","",""
158,"ポールアクス+",,"騎馬特効","",""
159,"ビッグスプーン",,"奥義発動時、奥義によるダメージ+10","",""
160,"ビッグスプーン+",,"奥義発動時、奥義によるダメージ+10","",""
161,"カミラの艶斧",,"騎馬または飛行の味方が2マス以内にいる時、戦闘中、自身の攻撃、速さ+4","騎馬または飛行の味方が2マス以内にいる時、戦闘中、自身の攻撃、速さ+4","周囲2マスの騎馬、飛行は戦闘中、攻撃、速さ+3"
162,"愛のケーキサーバ",,"ターン開始時、周囲1マスに味方がいれば、自分と周囲1マスの味方の攻撃+4(1ターン)","",""
163,"愛のケーキサーバ+",,"ターン開始時、周囲1マスに味方がいれば、自分と周囲1マスの味方の攻撃+4(1ターン)","",""
164,"ビーチフラッグ",,"自分から攻撃した時、戦闘中の攻撃、速さ、守備、魔防+2","",""
165,"ビーチフラッグ+",,"自分から攻撃した時、戦闘中の攻撃、速さ、守備、魔防+2","",""
